Date,Headline,Summary
8:17 AM 3/03/2019,Did Trump hit all the right marks with his CPAC speech?,President Trump unleashes over two hours of commentary before a partisan CPAC crowd.  MSNBC’s David Gura and panel of guests discuss.
PoliticsNation with Al Sharpton - 5:30 PM 3/02/2019,Cohen Vs. Trump,"Rev. Al Sharpton is joined by Paul Butler, Joe Watkins and Adrienne Elrod to discuss the explosive testimony given by former Trump lawyer and confidant Michael Cohen, and what it all means for President Trump looking ahead to 2020 and the Mueller..."
PoliticsNation with Al Sharpton - 5:30 PM 3/02/2019,Omarosa: On The Question of Racism,"Rev. Al Sharpton talks with Omarosa Manigault Newman about Trump’s messy history with race, and especially with the African American community, and how she believes President Trump really is in fact, a racist, in this segment."
AM Joy - 4:35 PM 3/02/2019,Trump lambasted by Cohen in congressional testimony,"Donald Trump was lambasted by the president’s former attorney and fixer Michael Cohen in congressional testimony this past week, during which Cohen called Trump a racist and conman. Joy Reid is joined by historian Michael Beschloss to discuss."
AM Joy - 4:28 PM 3/02/2019,Trump could be defeated in 2020 by one of these Democrats,"Beto O’Rourke is expected to decide on his 2020 run for the presidency soon, as many watch and wait on former vice president Joe Biden’s announcement. But the biggest question remains: who can beat Donald Trump? Joy Reid and her panel discuss."
AM Joy - 12:57 PM 3/02/2019,Racism accusations against Trump spark clash at Cohen hearing,Michael Cohen opened his testimony before the House Oversight Committee by calling Donald Trump a racist. Did Congressman Mark Meadows of North Carolina present a black woman member of the Trump organization as apparent ‘evidence’ to the contrary? Joy...
AM Joy - 12:33 PM 3/02/2019,Trump called racist by Cohen during congressional testimony,"Michael Cohen revealed a number of shocking allegations regarding Donald Trump during his blockbuster testimony this week, continued talking Thursday behind closed doors with the House Intelligence Committee, and will be back for another round this..."
AM Joy - 12:24 PM 3/02/2019,Trump allegedly ordered officials to give Kushner security...,"Jared Kushner reportedly received a top secret security clearance on orders from Donald Trump, which members of the U.S. intelligence community reportedly did not want to give him based on their professional evaluation. Joy Reid and her panel discuss."
9:02 AM 3/02/2019,How Cohen’s testimony was a reminder of Watergate,Michael Cohen's testimony is drawing comparisons to testimony former White House counsel John Dean gave during the Watergate Hearings.  MSNBC’s David Gura and panel of guests discuss.
9:00 AM 3/02/2019,Is there a path forward for Trump & Kim on denuclearization?,"After talks fell apart between President Trump and North Korea’s Kim Jong Un, the two try to find a way to move forward.  But as MSNBC’s David Gura discusses, the question is if there is a path at all."
Weekends with Alex Witt - 8:18 AM 3/02/2019,Sam Nunberg: Trump throws people out like ‘garbage’,Fixer-turned-felon Michael Cohen made several bombshell claims under other this past Wednesday in front of the House Oversight Committee. Former Trump campaign adviser Sam Nunberg joins Alex Witt to weigh in on Cohen’s testimony and make sense of the key
Weekends with Alex Witt - 8:14 AM 3/02/2019,Why would Trump lie about getting Kushner security clearance?,"The House Oversight Committee is threatening to subpoena the White House for documents after the New York Times reported that President Donald Trump ordered top officials to grant his son-in-law, Jared Kushner, top-security clearance. Juan Zarate, MSNBC"
The Rachel Maddow Show - 11:56 PM 3/01/2019,Waters: House staffers working with Deutsche Bank on Trump docs,"Rachel Maddow talks with Michael Beschloss, NBC News presidential historian about breaking news that House staffers from the Finance Committee are currently working with Deutsche Bank on the production of Donald Trump-related documents."
The 11th Hour with Brian Williams - 11:54 PM 3/01/2019,"Bernie Sanders reportedly plans diverse staff, more personal...",Washington state governor Jay Inslee joins the list of Democrats running for the White House in 2020 as a new AP report details how the Bernie Sanders campaign will differ this time around. Gabby Orr and Juana Summers join.
The 11th Hour with Brian Williams - 11:46 PM 3/01/2019,Why are conservatives at CPAC so fixated on Alexandria Ocasio...,The Democrat who came up the most at CPAC was freshman Democratic Rep. Alexandria Ocasio-Cortez. Why has she become such a fixation for Republicans? Anita Kumar and Daniel Dale discuss.
The 11th Hour with Brian Williams - 11:16 PM 3/01/2019,Did Trump just have his worst week yet as president?,"From a failed North Korea nuclear summit, Democrats after his tax returns, new questions over Kushner's security clearance, and Michael Cohen's damning testimony, Trump had a very bad week. Michael Steele, Annie Karni, Matthew Miller, and Nelson"
The Last Word with Lawrence O'Donnell - 11:15 PM 3/01/2019,Lawrence's Last Word: Trump's golf socialism,Rep. Alexandria Ocasio Cortez exposed Donald Trump's favorite socialism.
The Last Word with Lawrence O'Donnell - 11:06 PM 3/01/2019,Trump: ‘Why shouldn't I like’ murderous N.K. dictator?,"The president took his praise and defense of Kim Jong Un even farther this week, drawing outrage from the parents of Otto Warmbier, the American killed by North Korea's regime. Rep. Tom Malinowski (D-NJ) talks to Lawrence about his plan for Congress to..."
The Rachel Maddow Show - 9:40 PM 3/01/2019,Evolving lawyer statements could mean trouble for Kushner,"Rachel Maddow highlights the changes in public statements issued by Jared Kushner attorney Abbe Lowell, which appear to be an effort by Lowell to make sure he isn't thrown under the bus for his client's duplicity on how he got his security clearance."
The Rachel Maddow Show - 9:29 PM 3/01/2019,Swalwell confirms Cohen 'game changing' closed-door testimony,"Rep. Eric Swalwell talks with Rachel Maddow about the House Intelligence Committee working with new information and evidence from Michael Cohen, and what other avenues the committee is considering in its investigation of Donald Trump."
The Rachel Maddow Show - 9:00 PM 3/01/2019,"With trials ending, Manafort fixates on another kind of judgment","Rachel Maddow points out that Paul Manafort's lawyers are particularly focused on emphasizing a ""no collusion"" message even though Manafort's cases are wrapping up and Russian collusion was not part of his charges, suggesting Manafort is trying to make "
All In with Chris Hayes - 8:54 PM 3/01/2019,What will Trump do when backed into a corner?,"Trump ally and Israeli Prime Minister Netanyahu called impending corruption charges against him a ""witch hunt."" Sound familiar?"
All In with Chris Hayes - 8:36 PM 3/01/2019,Rep. Maxine Waters tell Chris Hayes that Deutsche Bank is...,"Congresswoman Waters says that when it comes to Deutsche Bank -- Trump's longtime lender -- she's very concerned about ""money laundering."""
All In with Chris Hayes - 8:33 PM 3/01/2019,Rep. Khanna: We know Trump was part of a criminal conspiracy,"Rep. Ro Khanna tells Chris Hayes we know there was a criminal conspiracy between the president, his son, his accountant, and Michael Cohen."
Hardball with Chris Matthews - 7:55 PM 3/01/2019,Trump tries to clarify comments about Otto Warmbier's death...,The president came under attack after he said in Hanoi that he did not hold North Korean leader Kim Jong Un responsible for the student's death.
The Beat with Ari Melber - 7:51 PM 3/01/2019,Fmr Trump Exec: CFO knows about over 5 more hush money payments,"Michael Cohen name-checked his former associates at the Trump Organization, mentioning Trump Org. CFO Allen Weisselberg alone more than 20 times in his testimony. Former Trump Organization Executive, Barbara Res, tells Ari Melber that Weisselberg..."
The Beat with Ari Melber - 7:50 PM 3/01/2019,Fmr prosecutor: Michael Cohen opened a 'Pandora's box' of...,House Democrats are citing Michael Cohen’s testimony in their calls to grill Donald Trump Jr. and Ivanka Trump as the House Ways and Means Committee will formally request Trump’s tax returns. Senator Richard Blumenthal tells Ari Melber that Cohen’s...
The Beat with Ari Melber - 7:41 PM 3/01/2019,GOP Rep.'s 'black friends defense' demolished by pundit & rapper,"The rapper Ezri, known for his viral freestyle on “Sway in the morning,” makes his first MSNBC appearance and weighs in on the fiery exchange between Rep. Tlaib and Rep. Meadows at the hearing of former Trump lawyer Michael Cohen.  The segment also..."
Hardball with Chris Matthews - 7:31 PM 3/01/2019,Manafort filing accuses Mueller of 'spreading misinformation',Paul Manafort's lawyers filed a pre-sentencing memo in the Eastern District of Virginia that appears to be an attack on Robert Mueller.
Hardball with Chris Matthews - 7:30 PM 3/01/2019,House Democrats prepare case to request Trump tax returns,"Democrats are crafting a request to send to the IRS and say they will ""take all necessary steps"" to obtain the president's returns."
Hardball with Chris Matthews - 7:17 PM 3/01/2019,House panel demands Kushner security clearance details from...,"According to the New York Times, White House Counsel Don McGahn also wrote a memo outlining concerns the CIA had about Kushner’s security clearance."
Deadline: White House - 5:43 PM 3/01/2019,Kim is responsible: The Warmbiers react to Trump’s comments,"NYT columnist Michelle Goldberg, MSNBC’s Rev. Al Sharpton, former DOJ spox Matt Miller, former Chief of Staff to Biden and Gore Ron Klain, and former US attorney Joyce Vance on Otto Warmbier’s parents hitting back at Trump after he said he takes Kim..."
Deadline: White House - 5:43 PM 3/01/2019,Truth exposed about how Jared Kushner obtained his security...,"NYT reporter Adam Goldman, former DOJ spox Matt Miller, former Chief of Staff to Biden and Gore Ron Klain, and former US attorney Joyce Vance on the New York Times bombshell report that Trump ordered his officials to grant Jared Kushner a security..."
MTP Daily - 5:37 PM 3/01/2019,What are the biggest legal perils facing Trump?,"Former federal prosecutor Glenn Kirschner joins Chuck Todd to discuss the legal troubles facing the president, from the Russia investigations and the Southern District of New York."
Steve Benen The Rachel Maddow Show - 5:30 PM 3/01/2019,"Friday's Mini-Report, 3.1.19",Today's edition of quick hits.
5:05 PM 3/01/2019,Why Trump Org. exec’s testimony could be trouble for Trump,"The House Intel Committee plans to call Allen Weisselberg, Trump Organization Chief Financial Officer, to testify. Former U.S. Attorney Barbara McQuade Joins Ali Velshi to discuss why what he has to say could be so valuable to prosecutors."
5:02 PM 3/01/2019,Hassett on probability of recession soon: Close to zero,"Ali Velshi talks with Council of Economic Advisers chair Kevin Hassett about the state of economic growth, and predictions by economists that the U.S. could fall into recession within the next two years."
4:43 PM 3/01/2019,Following Michael Cohen's 'bread crumbs',Michael Cohen laid out a web of figures connected to President Trumps political and financial dealings in a testimony in front of congress this week. But how does it all connect? NBC's Ken Dilanian and Former Chief of staff and former Senior Counsel to
4:20 PM 3/01/2019,Warmbier family responds to Trump-Kim summit,"At the summit in Hanoi this week, Donald Trump refused to blame Kim Jong Un for the death of 22 year old American Otto Warmbier. Otto's parents issued a response today reading in part ""Kim and his evil regime are responsible."""
4:15 PM 3/01/2019,How do President Trump and Ivanka Trump's alleged lies impact...,"Reports indicate that President Trump defied warnings from both security officials and his own White House lawyer to grant Jared Kushner top-secret clearance, something that the President and his daughter Ivanka have both denied publicly."
Steve Benen The Rachel Maddow Show - 4:11 PM 3/01/2019,Trump's alleged financial fraud creates an important new vulnerability,"If Trump tried to perpetrate a fraud against financial institutions, that's a felony -- for which the statute of limitations has not expired."
3:08 PM 3/01/2019,Rep. Connolly on Michael Cohen: 'We’re now looking at a 10...,"In an interview with The Washington Post, Rep. Gerald E. Connolly D-Va. said of Michael Cohen's testimony, “He set a very rich table. We’re now looking at a 10-course meal."" MSNBC's Katy Tur connects the dots on the diverse table of characters related to"
2:36 PM 3/01/2019,"Who is the new EPA Administrator, Andrew Wheeler?",The Senate narrowly confirmed the president’s new pick to head the Environmental Protection Agency. NBC’s Jacob Ward joins Ali Velshi to take a closer look at Andrew Wheeler and why discuss why so many groups are worried about his confirmation.
2:23 PM 3/01/2019,Otto Warmbier’s family hits back after Trump sides with Kim...,President Trump took Kim Jong Un’s word after saying he was unaware that American student Otto Warmbier was tortured in North Korea. NBC’s Bill Neely joins Ali Velshi to discuss what the Warmbier family said about the treatment of their son in North Korea
2:19 PM 3/01/2019,Trump Org CFO Allen Weisselberg could testify in front of...,The CFO of the Trump Organization could testify in front of the House Intelligence Committee as the panel calls several Trump-connected witnesses – including another round with President Trump’s former fixer Michael Cohen. Ali Velshi is joined by former
2:16 PM 3/01/2019,Why would President Trump deny getting Kushner clearance?,"Following the bombshell report from the New York Times that says President Trump overruled intelligence officials and ordered top secret security clearance for his son-in-law, Jared Kushner, Ali Velshi is joined by NBC’s Ken Dilanian and National Security"
1:51 PM 3/01/2019,U.S. preparing to suspend joint military exercises with S. Korea,Officials say the move is part of an effort to ease tensions with North Korea after the second nuclear summit between President Trump and Kim Jong Un.
Steve Benen The Rachel Maddow Show - 12:48 PM 3/01/2019,State Dept clarifies the reason talks with North Korea collapsed,"Was Trump simply confused about the specific details of the negotiations? Did he understand the terms of the proposal, but feel the need to misrepresent them?"
12:47 PM 3/01/2019,Fmr. Trump Organization EVP on Michael Cohen and what Donald...,"Former Executive Vice President of the Trump Organization, Barbara Res, tells Chris Jansing that Donald Trump knew of everything that was going on within the organization, and says that Michael Cohen is ""not a changed man."""
Steve Benen The Rachel Maddow Show - 12:00 PM 3/01/2019,"Friday's Campaign Round-Up, 3.1.19",Today's installment of campaign-related news items from across the country.
11:31 AM 3/01/2019,Kellyanne Conway weighs in on Jared Kushner security clearance...,"Kellyanne Conway in an interview with NBC's Garrett Haake said that ultimately, President Trump has ""absolute authority"" in the decision on Jared Kushner's security clearance."
Steve Benen The Rachel Maddow Show - 11:20 AM 3/01/2019,Senate GOP quietly adopts new standards for judicial nominees,"The fight over ""blue slips"" is a reminder that Democrats and Republicans play by very different rules."
MSNBC Live with Stephanie Ruhle - 11:16 AM 3/01/2019,Trump ordered Kushner to get top secret security clearance,"Following the New York Times report about the president personally ordering top secret security clearance for his son-in-law, Jared Kushner, Stephanie Ruhle discusses why the Trump family lied about it and what this means for the country’s national"
MSNBC Live with Stephanie Ruhle - 11:13 AM 3/01/2019,President Trump ordered officials to give son-in-law security...,"The New York Times has reported that President Trump personally ordered that Kushner be given top secret security clearance in May 2018, overriding the concerns of then-Chief of Staff John Kelly, his White House Counsel and his own intelligence experts."
Steve Benen The Rachel Maddow Show - 10:45 AM 3/01/2019,Warren vows no pardons for those caught up in Trump scandals,"Let's say Trump is indicted after he's no longer president, whenever that may be. If that happens, will his successor be inclined to pull a Gerald Ford?"
Morning Joe  - 10:26 AM 3/01/2019,Trump policies causing surge of illegal border crossings,"Due to stricter policies implemented by the Trump administration, more undocumented immigrants are choosing to cross the southern border illegally rather than choosing to seek asylum."
Steve Benen The Rachel Maddow Show - 10:06 AM 3/01/2019,Trump blurts out achievement in Syria that doesn't appear to exist,Trump told U.S. troops yesterday that all ISIS territory in Syria has been captured. That doesn't appear to be true.
MSNBC Live - 10:04 AM 3/01/2019,"Otto Warmbier's parents blame Kim Jong Un for son's death,...","The parents of Otto Warmbier, the American student who died shortly after being released from North Korean custody, said that the Kim Jong Un regime is ""responsible"" for their son's death, contradicting a statement made by President Donald Trump who..."
Morning Joe  - 10:00 AM 3/01/2019,"Credible evidence Trump committed crimes, says Rep. Himes","Rep. Jim Himes, D-Conn., sits on the House Intel Committee, and he joins Morning Joe to discuss Thursday's closed door session with Michael Cohen and the 'credible evidence' Trump committed crimes."
Steve Benen The Rachel Maddow Show - 9:20 AM 3/01/2019,"Facing defeat over wall declaration, Trump gets good advice from GOP",Congress is likely to reject Trump's emergency declaration for wall funding. It's why Republicans are advising the White House to retreat.
Morning Joe  - 8:11 AM 3/01/2019,Congressman Moulton considering a run in 2020,"Rep. Seth Moulton, D-Mass., says he's seriously looking at a 2020 presidential bid and that he believes he can help unite the country. Rep. Moulton also weighs in on Nancy Pelosi and the president's North Korea trip."
Steve Benen The Rachel Maddow Show - 8:00 AM 3/01/2019,"On Jared Kushner's security clearance, Trump has some explaining to do",Intelligence professionals rejected Jared Kushner's security clearance. Donald Trump intervened -- and then he lied about it.
Morning Joe  - 6:42 AM 3/01/2019,Joe: Trump appeases dictator over brutal death of Warmbier,"As the president and North Korea are at odds over the reason for a breakdown in talks, Trump is receiving criticism from both sides of the aisle for saying he believed Kim Jong Un regarding the death of Otto Warmbier."
Morning Joe  - 6:33 AM 3/01/2019,"Trump, Ivanka deny special treatment for Kushner","President Donald Trump overruled concerns of security officials and his own White House counsel and ordered that a top-secret security clearance be given to Jared Kushner, his son-in-law and senior adviser, The New York Times reported Thursday."
The 11th Hour with Brian Williams - 12:05 AM 3/01/2019,Trump praises North Korea's murderous dictator after failed...,"After his Hanoi summit with Kim Jong Un fell apart, Trump still complimented the secretive state's murderous dictator. Eugene Robinson and Rick Wilson react."
The 11th Hour with Brian Williams - 11:55 PM 2/28/2019,Tensions heat up between India and Pakistan. Here's why that...,"As the president's failed summit and legal woes suck up all the oxygen, tensions are flaring between two nuclear powers. Nicholas Kristof of The New York Times reacts."
The 11th Hour with Brian Williams - 11:53 PM 2/28/2019,Lawmakers investigating Trump want to talk to Trump Org. CFO...,"After Michael Cohen's public testimony to the House Oversight Committee, lawmakers on the Hill have questions for Trump Org. CFO Allen Weisselberg. Our panel discusses what that could mean for Trump."
The 11th Hour with Brian Williams - 11:29 PM 2/28/2019,Why it matters Trump reportedly ordered Kushner get a security...,We ask our panel of experts to explain why it's a big deal that Pres. Trump reportedly overruled intelligence officials so that Jared Kushner could get a security clearance.
The 11th Hour with Brian Williams - 11:21 PM 2/28/2019,Trump reportedly ordered that Jared Kushner get his security...,"After both Pres. Trump and Ivanka Trump denied the president had anything to do with overriding officials on security clearances, The New York Times reports Trump himself ordered one be given to Jared Kushner. Jeremy Bash, Josh Gerstein, and Jessica Roth"
The Last Word with Lawrence O'Donnell - 10:55 PM 2/28/2019,"Cohen’s evidence was a last minute add, he’s got more to tell",Rep. Raja Krishnamoorthi tells Lawrence that Michael Cohen has more to tell and will come back on March 6th to provide more information. Lawrence also talks with David Cay Johnston and Emily Jane Fox who had a stunning revelation about Cohen’s evidence.
The Rachel Maddow Show - 9:54 PM 2/28/2019,Davis: 'Everybody knew' Trump's Russian business claim was a lie,"Lanny Davis, attorney for Michael Cohen, explains how Donald Trump communicates what he wants without giving a direct order, including supporting his lie on the campaign trail that he had no business with Russia."
The Rachel Maddow Show - 9:45 PM 2/28/2019,Davis: Cohen gave 'game changing' information to House Intel,"Lanny Davis, attorney for Michael Cohen, tells Rachel Maddow that ""game changing"" information related to ""lying and obstruction evidence"" was developed with Cohen's testimony to the House Intelligence Committee today, prompting them to ask him to return"
The Rachel Maddow Show - 9:32 PM 2/28/2019,"Beyond Mueller, potential Trump lawbreaking challenges US justice","Neal Katyal, former acting-solicitor general, talks with Rachel Maddow about how the various criminal investigations into Donald Trump would be addressed by the justice system if they find actual criminal wrongdoing."
The Rachel Maddow Show - 9:00 PM 2/28/2019,Cohen documents raise questions about Trump financial fraud,"Rachel Maddow looks at an example from the Donald Trump financial documents submitted by Michael Cohen as part of his House Oversight Committee testimony, in which Trump appears to adjust the valuation of a piece of real estate to change how he would look"
All In with Chris Hayes - 8:57 PM 2/28/2019,Rep. Tlaib tells Chris Hayes she stands by her comments,Rashida Tlaib talks about how she came to Congress in part to force difficult conversations.
All In with Chris Hayes - 8:50 PM 2/28/2019,Trump employee Matty Calamari is real- and he is spectacular,"Matthew Calamari, current EVP and COO at the Trump Organization, reportedly caught Trump's eye back in the 80's when the future president saw him roughing up some hecklers at a tennis tournament."
The Beat with Ari Melber - 8:04 PM 2/28/2019,Watch when Michael Cohen’s Trump allegation ensnared Trump Jr,"The aftershocks from Michael Cohen's earthquake testimony continue to hit, with investigators now looking to hear from the people closest to Trump, after Cohen name-checked Donald Trump Junior, Ivanka Trump and Trump Organization CFO Allen Weisselberg..."
The Beat with Ari Melber - 7:49 PM 2/28/2019,"Mueller witness breaks silence to rebut roger stone, defend dog","In a “Beat” exclusive, “Person 2” in Mueller’s Roger Stone indictment counters Stone’s threats against his dog.  It comes as Michael Cohen’s testimony puts new heat on President Trump, Roger Stone and Donald Trump Jr."
Hardball with Chris Matthews - 7:39 PM 2/28/2019,Should Beto O'Rourke run for president?,Beto O'Rourke has made up his mind about a 2020 presidential run and said Wednesday that he will announce his intentions soon. Steve goes to the big board to break down the polling on what O’Rourke’s chances are looking like.
The Beat with Ari Melber - 7:34 PM 2/28/2019,Former SDNY Chief: These prosecutors may indict a President,"In an exclusive interview on MSNBC’s The Beat, the former U.S. Attorney for the Southern District of New York, David Kelley, made news by stating that the office he used to run may legally indict a sitting President, if warranted by a serious charge,..."
Hardball with Chris Matthews - 7:31 PM 2/28/2019,NYT: Trump ordered officials to give Jared Kushner security...,"The New York times is reporting that the President’s son-in-law, Jared Kushner, was granted security clearance because Trump overruled top intelligence officials. The report follows NBC News reporting that Jared Kushner was rejected for a top-secret"
The Beat with Ari Melber - 7:30 PM 2/28/2019,Trump’s Art of The Deal co-author: He 'loves violence',"In his testimony before the House Oversight Committee, Michael Cohen told Members of Congress that Trump speaks in a “code”, a way to communicate sensitive and potentially criminal information through meaningful looks, winks and nods. Trump’s “Art of..."
Hardball with Chris Matthews - 7:17 PM 2/28/2019,House will call Trump Org. executive Allen Weisselberg to testify,"The House Intelligence Committee intends to call Allen Weisselberg, chief financial officer of the Trump Organization, to testify, a source with direct knowledge of the situation tells NBC News."
Hardball with Chris Matthews - 7:09 PM 2/28/2019,Rep. Eric Swalwell says Cohen will bring corroborating...,Rep. Adam Schiff (D-Calif.) said the House Intelligence Committee will interview Felix Sater and Michael Cohen will return next week. Congressman Eric Swalwell said he found Michael Cohen’s closed door testimony ‘credible.’
MTP Daily - 5:54 PM 2/28/2019,Second North Korea summit ends with no agreement,"Victor Cha says the North Koreans presented ""such a bad deal"" that the president ""had to walk away"" from talks in Hanoi."
MTP Daily - 5:54 PM 2/28/2019,"Trump ordered officials to give Kushner a security clearance,...",Chuck Todd and the panel discuss the New York Times’ new report that the president’s son-in-law will get a high level security clearance.
MTP Daily - 5:48 PM 2/28/2019,Cha: Trump-Kim ‘bromance’ is not getting North Korea to give...,Victor Cha joins Chuck Todd and the panel to discuss Trump’s summit with North Korean leader Kim Jong-Un and why some are applauding him for walking away with no deal.
Deadline: White House - 5:48 PM 2/28/2019,Cohen still testifying after explosive day on the Hill,"Former Gov. Chris Christie, former US attorney Chuck Rosenberg, former assistant director of the FBI Frank Figliuzzi, and Vanity Fair’s Emily Jane Fox on the fallout inside Trump world after former fixer and attorney Michael Cohen’s public testimony..."
Deadline: White House - 5:48 PM 2/28/2019,Diplomatic Disaster: Trump leaves North Korea summit empty handed,"WaPo’s Robert Costa, former undersecretary of State Rick Stengel, NYT’s Nick Confessore, and MSNBC contributor Karine Jean-Pierre on the complete breakdown of negotiations in Vietnam between Trump and Kim Jong Un"
Deadline: White House - 5:47 PM 2/28/2019,Trump sides with murderous dictators yet again,"WaPo’s Robert Costa, former undersecretary of State Rick Stengel, NYT’s Nick Confessore, and MSNBC contributor Karine Jean-Pierre on Trump’s pattern of accepting the denials of dictators, this time it’s Kim Jong Un on the death of American Otto Warmbier"
Deadline: White House - 5:47 PM 2/28/2019,"After Cohen's testimony, what's next for the Trump kids?","Former Gov. Chris Christie, former US attorney Chuck Rosenberg, former assistant director of the FBI Frank Figliuzzi, and Vanity Fair’s Emily Jane Fox on the consequences of Cohen’s testimony on Trump’s children"
MTP Daily - 5:43 PM 2/28/2019,Can’t say you weren’t warned: 2016 Republicans previewed...,Chuck Todd takes a look back at some of the GOP candidates for president in 2016 and how their comments on Donald Trump sound a whole lot like Michael Cohen’s statements yesterday.
MTP Daily - 5:29 PM 2/28/2019,"After Cohen testimony, will Democrats move on impeachment...","Rep. Gerry Connolly (D-Va.) joins Chuck Todd to discuss whether Democrats will move toward impeaching President Trump, as a growing number of Democratic leaders say Michael Cohen’s testimony proved Trump committed a crime will in office."
4:26 PM 2/28/2019,"The next steps for prosecutors, congress after Cohen testimony","Ali Velshi takes a closer look at the defining moments of Michael Cohen’s testimony before the House Oversight Committee and what comes next with NBC News Investigative Reporter Tom Winter, former Democratic Congresswoman Liz Holtzman, and Loyola Law"
4:23 PM 2/28/2019,What did Michael Cohen reveal about the President's finances?,President Trump's former lawyer Michael Cohen revealed yesterday that the President may have committed bank fraud by inflating his total assets on various financial statements. Bloomberg's Tim O'Brien and Democratic consultant Hank Sheinkopf discuss what
4:20 PM 2/28/2019,Rep. Joaquin Castro: 'Good chance' SDNY investigation will...,"Rep. Joaquin Castro (D-TX), a member of the House Intelligence Committee that is meeting with Michael Cohen behind closed doors today tells Katy Tur that the Southern District of New York investigation could be legally perilous to Trump because it gets "
4:19 PM 2/28/2019,'It’s a threat all right': Gaetz under fire for Cohen tweet,"Former White House Ethics Lawyer for President George W. Bush, Richard Painter, joins Ali Velshi to discuss what’s ahead for one of President Trump’s top allies on Capitol Hill, who is now under investigation for his tweet to Michael Cohen."
Steve Benen The Rachel Maddow Show - 4:16 PM 2/28/2019,Senate Republicans rally behind coal lobbyist to lead the EPA,Some may be tempted to think that Andrew Wheeler's leadership of the EPA won't be much worse than Scott Pruitt's. I think that assumption is misplaced.
2:31 PM 2/28/2019,Breaking down 2018’s GDP growth,New economic growth numbers are out for 2018 and the big GDP boost the Trump administration predicted from massive tax cuts still falls short. CNBC’s Editor-at-Large joins Ali Velshi and Stephanie Ruhle to take a look at those numbers.
2:28 PM 2/28/2019,Why no deal with North Korea may be better than a bad deal,The president’s second summit with Kim Jong Un ended abruptly – the issue of U.S. sanctions remained a major sticking point. Stephanie Ruhle and Ali Velshi are joined by former Congresswoman Jane Harman to discuss why no deal might be better than a bad
2:23 PM 2/28/2019,What is the most damaging thing Cohen could say about Trump?,"President Trump’s former attorney Michael Cohen is in front of the House Intelligence Committee, giving testimony for the third time this week. Ali Velshi breaks down what could be the most damaging topic for the president. Weighing in: NBC’s Tom Winter"
Andrea Mitchell Reports - 1:05 PM 2/28/2019,Sen. Menendez: Cohen testimony a foundation for seeking Trump...,"Michael Cohen's explosive testimony raised new questions about President Trump's finances. Democratic Senator Bob Menendez, member of the Banking and Finance Committees and the top Democrat on the Foreign Relations Committee, joins Andrea Mitchell to"
Andrea Mitchell Reports - 1:03 PM 2/28/2019,Key takeaways and next steps after Trump/Kim summit,"President Trump is on his way home from Hanoi without a deal, after talks with Kim Jong Un abruptly broke down and the two leaders failed to agree on any steps toward the denuclearization of North Korea. Ambassador Nick Burns, former Ambassador to NATO"
Steve Benen The Rachel Maddow Show - 12:46 PM 2/28/2019,'The reason there was no defense is because there is no defense',Why did Trump's GOP allies focus on Cohen's guilt instead of the president's innocence? Because defending Trump's misdeeds looks like an impossible challenge.
Morning Joe  - 12:03 PM 2/28/2019,Mika: Rep. Cummings a model for DC and the country,"Mika Brzezinski weighs in on Rep. Elijah Cummings, who serves as chairman of the House Oversight Committee."
Steve Benen The Rachel Maddow Show - 12:00 PM 2/28/2019,"Thursday's Campaign Round-Up, 2.28.19",Today's installment of campaign-related news items from across the country.
Steve Benen The Rachel Maddow Show - 11:22 AM 2/28/2019,Trump's rhetoric on military exercises gets more embarrassing,"It's unsettling to think about, but the president may have heard the phrase ""war games,"" and concluded that they are actual recreational activities."
11:19 AM 2/28/2019,"In Otto Warmbier death, Trump once again sides with dictator...","President Trump said Kim Jong Un was not responsible for the horrific injuries sustained by American student Otto Warmbier, who died shortly after being released from 17 months of detention in North Korea. Former UN ambassador Bill Richardson joins Hallie"
MSNBC Live with Stephanie Ruhle - 11:02 AM 2/28/2019,Michael Cohen & what went down in 7 hours with lawmakers,"Michael Cohen testified for nearly seven hours of public testimony in front of the House Oversight Committee yesterday, painting the president as a racist, a liar, and a cheat. Stephanie Ruhle is joined by Commentary Magazine Associate Editor Noah Rothman"
MSNBC Live with Stephanie Ruhle - 11:00 AM 2/28/2019,U.S. and North Korea don’t reach nuclear agreement at summit,Talks between President Trump and North Korean dictator Kim Jong Un collapsed after the two sides failed to reach a nuclear deal. The president decided to “walk” after Kim demanded all sanctions be lifted. Stephanie Ruhle is joined by IISS Deputy Director
11:00 AM 2/28/2019,Rev. Al Sharpton: 'The darkest thing I have seen in the Trump...,"Rep. Brenda Lawrence and Rev. Al Sharpton react to Rep. Mark Meadows bringing Lynne Patton, a black woman who's friends with the Trump family and works for the federal government, to the Michael Cohen hearing as a ""prop."""
Morning Joe  - 10:57 AM 2/28/2019,"Cohen knows the consequences of lying to Congress, says rep.","Rep. Raja Krishnamoorthi, D-Ill., weighs in on his line of questioning during Michael Cohen's Wednesday hearing."
Steve Benen The Rachel Maddow Show - 10:40 AM 2/28/2019,Trump's Stormy Daniels lie comes back to haunt him and his team,"Remember six months ago, when Sarah Huckabee Sanders said it was ""ridiculous"" to suggest Trump lied about the Stormy Daniels hush-money scheme?"
Morning Joe  - 10:27 AM 2/28/2019,Don't send the president to discuss nuclear weapons: Fmr. Amb.,Ambs. Christopher Hill and Nicholas Burns and Rep. Abigail Spanberger discuss the president's summit in Vietnam with North Korean dictator Kim Jong Un.
